KXALLSTARROSTER	All Star Roster	Sports
KXSONICS	Blazers become Sonics	Sports
KXMARMADUPSET	March Madness Upsets	Sports
KXNBACUP	Pro Basketball Cup Champion	Sports
KXLEADERNBABLK	NBA BPG Leader	Sports
KXWO-BIATH	Winter Olympics Biathalon	Sports
KXUECL	UEFA Conference League Winner	Sports
KXEPLTOP4	EPL top 4 teams	Sports
KXUCLGOAL	UCL Goalscorer	Sports
KXSURF	Surfing	Sports
KXMLSEAST	MLS Western Conference winner?	Sports
KXWBCGAME	World Baseball Classic Game	Sports
KXNBADRAFT5	NBA Draft Fifth Pick	Sports
KXNBACELEBRITYGAME	Pro Basketball All-Star Celebrity Game	Sports
KXNFLEXACTWINSLV	Pro football exact wins Las Vegas	Sports
KXNHLANYGOAL	Pro Hockey Goalscorer	Sports
KXSCOTTISHPREMGAME	Scottish Premiership Game	Sports
KXSOCCERBTTS	Soccer Both Team to Score	Sports
KXEUROCUPGAME	Eurocup Basketball Game	Sports
KXNEXTMANAGERCHELSEA	Next Manager Chelsea	Sports
KXNBA1QTOTAL	NBA 1st Quarter Total	Sports
KXITASUPERCUPGAME	Italy Super Cup Game	Sports
KXIPLFIRST10	IPL First 10 Overs Winner	Sports
KXMLBGAME	Professional Baseball Game	Sports
KXNFLHIRECOACH	NFL hire coach	Sports
KXUEL16TWEVIK	Europa League round of 16 - TWE VIK	Sports
KXEWCFREEFIRE	Free Fire at 2025 Esports World Cup	Sports
KXLALIGA2GAME	LaLiga 2 Game	Sports
KXMLSGAME	Major League Soccer Game	Sports
KXCHESSWORLDCHAMPION	World Chess Champion	Sports
KXNHLWEST	Western Conference Champion	Sports
KXIPLSIX	IPL Total Sixes	Sports
KXUCLTOP	UCL League Phase Top of Table	Sports
KXMLBSERIESGAMETOTAL	Professional Baseball Series Total Games	Sports
KXFIRSTPICKNBA	NBA first pick	Sports
KXKXECULPGAME	delete	Sports
KXCHESS	Chess Tournament Winner	Sports
KXODINVCTFINALS	Odin VCT finals	Sports
KXNFLREBOOT	Reboot Rules	Sports
KXSPORTSIGNINSPIRED	Inspired	Sports
KXWPLGAME	Women's Indian Premier League Cricket Game	Sports
KXCOACHOUTUNC	Bill Belichick Out	Sports
KXMLSBTTS	MLS BTTS	Sports
KXNHLROSS	NHL Art Ross Trophy	Sports
KXPICKLEBALLGAMES	Pickle Ball Games	Sports
KXPLAYEROPTION	Player option	Sports
KXATPANYSET	ATP Any Set Winner	Sports
KXWOALPSKI	Winter Olympics Alpine Skiing	Sports
KXNFLCONTRACTSIZE	Pro Football Next Contract Size	Sports
KXNBADRAFT7	NBA Draft Seventh Pick	Sports
KXJLEAGUEGAME	Japan J League Game	Sports
KXLEADERNBAAST	NBA APG Leader	Sports
KXUEL16AJAUSG	Europa League round of 16 - AJA USG	Sports
KXNHLMETROPOLITAN	NHL Metropolitan Division Winner	Sports
KXMLBWINS-HOU	Pro baseball wins Houston	Sports
KXNFLREDZONEBRANDADS	Redzone week 1 brand ads	Sports
KXUFCLIGHTWEIGHTTITLE	UFC Lightweight Title	Sports
KXNEXTMANAGERJUV	Next Manager of Juventus	Sports
KXCODGAME	Call of Duty Games	Sports
KXSIXKINGSQUARTER	Six Kings Slam Quarterfinals	Sports
KXTHAIL1GAME	Thai League 1 Game	Sports
KXWOFREESKI	Winter Olympics Freestyle Skiing	Sports
